#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    27    0.11352E+02    0.54346E-06    0.40078E-04    0.12277E-01    0.31555E-01    0.54346E-06    0.87026E-13    0.19378E-11    0.23407E-08    0.37286E-08    0.40078E-04    0.19378E-11    0.14553E-09    0.47811E-07    0.11997E-06    0.12277E-01    0.23407E-08    0.47811E-07    0.23899E-03    0.32501E-03    0.31555E-01    0.37286E-08    0.11997E-06    0.32501E-03    0.46892E-03
    28    0.10551E+02   -0.24430E-03    0.37313E-04    0.12492E-01    0.31733E-01   -0.24430E-03    0.62322E-06    0.15561E-11    0.19775E-08    0.31649E-08    0.37313E-04    0.15561E-11    0.13527E-09    0.48623E-07    0.12052E-06    0.12492E-01    0.19775E-08    0.48623E-07    0.25586E-03    0.34875E-03    0.31733E-01    0.31649E-08    0.12052E-06    0.34875E-03    0.50365E-03
    29    0.98728E+01    0.32786E-06    0.34797E-04    0.12694E-01    0.31886E-01    0.32786E-06    0.46296E-13    0.11454E-11    0.14841E-08    0.24042E-08    0.34797E-04    0.11454E-11    0.12597E-09    0.49386E-07    0.12100E-06    0.12694E-01    0.14841E-08    0.49386E-07    0.27326E-03    0.37328E-03    0.31886E-01    0.24042E-08    0.12100E-06    0.37328E-03    0.53955E-03
    30    0.92980E+01    0.16708E-04    0.32500E-04    0.12883E-01    0.32015E-01    0.16708E-04   -0.21393E-05    0.76734E-12    0.95353E-09    0.15878E-08    0.32500E-04    0.76734E-12    0.11750E-09    0.50101E-07    0.12139E-06    0.12883E-01    0.95353E-09    0.50101E-07    0.29118E-03    0.39859E-03    0.32015E-01    0.15878E-08    0.12139E-06    0.39859E-03    0.57660E-03
    31    0.86365E+01    0.14006E-06    0.30399E-04    0.13060E-01    0.32124E-01    0.14006E-06    0.25763E-13    0.46022E-12    0.48216E-09    0.85961E-09    0.30399E-04    0.46022E-12    0.10978E-09    0.50771E-07    0.12172E-06    0.13060E-01    0.48216E-09    0.50771E-07    0.30962E-03    0.42466E-03    0.32124E-01    0.85961E-09    0.12172E-06    0.42466E-03    0.61479E-03
    32    0.80624E+01    0.16031E-03    0.28475E-04    0.13225E-01    0.32213E-01    0.16031E-03    0.18985E-05    0.25063E-12    0.15365E-09    0.34429E-09    0.28475E-04    0.25063E-12    0.10272E-09    0.51399E-07    0.12199E-06    0.13225E-01    0.15365E-09    0.51399E-07    0.32857E-03    0.45149E-03    0.32213E-01    0.34429E-09    0.12199E-06    0.45149E-03    0.65410E-03
    33    0.75958E+01    0.50472E-07    0.26710E-04    0.13381E-01    0.32285E-01    0.50472E-07    0.20891E-13    0.14161E-12   -0.33521E-11    0.87023E-10    0.26710E-04    0.14161E-12    0.96266E-10    0.51986E-07    0.12219E-06    0.13381E-01   -0.33521E-11    0.51986E-07    0.34802E-03    0.47906E-03    0.32285E-01    0.87023E-10    0.12219E-06    0.47906E-03    0.69451E-03
    34    0.71191E+01   -0.27666E-03    0.25085E-04    0.13525E-01    0.32340E-01   -0.27666E-03    0.58091E-06    0.12686E-12    0.20146E-10    0.10388E-09    0.25085E-04    0.12686E-12    0.90336E-10    0.52535E-07    0.12234E-06    0.13525E-01    0.20146E-10    0.52535E-07    0.36796E-03    0.50736E-03    0.32340E-01    0.10388E-09    0.12234E-06    0.50736E-03    0.73598E-03
    35    0.67129E+01    0.59022E-07    0.23588E-04    0.13660E-01    0.32379E-01    0.59022E-07    0.16929E-13    0.18631E-12    0.20967E-09    0.37386E-09    0.23588E-04    0.18631E-12    0.84883E-10    0.53045E-07    0.12244E-06    0.13660E-01    0.20967E-09    0.53045E-07    0.38837E-03    0.53636E-03    0.32379E-01    0.37386E-09    0.12244E-06    0.53636E-03    0.77850E-03
    36    0.63768E+01    0.46383E-03    0.22206E-04    0.13785E-01    0.32403E-01    0.46383E-03   -0.13653E-06    0.29614E-12    0.54198E-09    0.86194E-09    0.22206E-04    0.29614E-12    0.79858E-10    0.53518E-07    0.12249E-06    0.13785E-01    0.54198E-09    0.53518E-07    0.40925E-03    0.56604E-03    0.32403E-01    0.86194E-09    0.12249E-06    0.56604E-03    0.82204E-03
    37    0.59588E+01    0.12251E-06    0.20928E-04    0.13900E-01    0.32413E-01    0.12251E-06    0.15453E-13    0.43132E-12    0.98218E-09    0.15141E-08    0.20928E-04    0.43132E-12    0.75220E-10    0.53954E-07    0.12250E-06    0.13900E-01    0.98218E-09    0.53954E-07    0.43057E-03    0.59639E-03    0.32413E-01    0.15141E-08    0.12250E-06    0.59639E-03    0.86656E-03
    38    0.55978E+01   -0.55392E-03    0.19744E-04    0.14006E-01    0.32409E-01   -0.55392E-03    0.41830E-05    0.56857E-12    0.14883E-08    0.22659E-08    0.19744E-04    0.56857E-12    0.70930E-10    0.54355E-07    0.12245E-06    0.14006E-01    0.14883E-08    0.54355E-07    0.45233E-03    0.62738E-03    0.32409E-01    0.22659E-08    0.12245E-06    0.62738E-03    0.91203E-03
    39    0.53351E+01   -0.64611E-03    0.18646E-04    0.14103E-01    0.32391E-01   -0.64611E-03    0.55145E-05    0.69278E-12    0.20012E-08    0.30295E-08    0.18646E-04    0.69278E-12    0.66956E-10    0.54721E-07    0.12236E-06    0.14103E-01    0.20012E-08    0.54721E-07    0.47451E-03    0.65899E-03    0.32391E-01    0.30295E-08    0.12236E-06    0.65899E-03    0.95841E-03
    40    0.50204E+01    0.21710E-06    0.17626E-04    0.14191E-01    0.32361E-01    0.21710E-06    0.26639E-13    0.79087E-12    0.24576E-08    0.37112E-08    0.17626E-04    0.79087E-12    0.63270E-10    0.55052E-07    0.12223E-06    0.14191E-01    0.24576E-08    0.55052E-07    0.49708E-03    0.69119E-03    0.32361E-01    0.37112E-08    0.12223E-06    0.69119E-03    0.10057E-02
    41    0.48575E+01    0.12921E-02    0.16676E-04    0.14269E-01    0.32318E-01    0.12921E-02   -0.10177E-04    0.85259E-12    0.28047E-08    0.42325E-08    0.16676E-04    0.85259E-12    0.59841E-10    0.55350E-07    0.12205E-06    0.14269E-01    0.28047E-08    0.55350E-07    0.52004E-03    0.72396E-03    0.32318E-01    0.42325E-08    0.12205E-06    0.72396E-03    0.10538E-02
