#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    26    0.11148E+04    0.19194E+01    0.52045E-04    0.34569E-02    0.28206E-02    0.19194E+01    0.14486E-01   -0.23723E-07    0.35169E-08    0.32111E-08    0.52045E-04   -0.23723E-07    0.19951E-09    0.20912E-07    0.16403E-07    0.34569E-02    0.35169E-08    0.20912E-07    0.72211E-04    0.43218E-04    0.28206E-02    0.32111E-08    0.16403E-07    0.43218E-04    0.39708E-04
    27    0.11328E+04    0.19803E+01    0.48779E-04    0.35341E-02    0.28833E-02    0.19803E+01    0.16544E-01   -0.23497E-07    0.94826E-08    0.51684E-08    0.48779E-04   -0.23497E-07    0.18603E-09    0.21393E-07    0.16773E-07    0.35341E-02    0.94826E-08    0.21393E-07    0.78645E-04    0.47157E-04    0.28833E-02    0.51684E-08    0.16773E-07    0.47157E-04    0.43258E-04
    28    0.11511E+04    0.20342E+01    0.45800E-04    0.36089E-02    0.29445E-02    0.20342E+01    0.18803E-01   -0.23261E-07    0.10655E-07    0.65935E-08    0.45800E-04   -0.23261E-07    0.17380E-09    0.21858E-07    0.17130E-07    0.36089E-02    0.10655E-07    0.21858E-07    0.85393E-04    0.51293E-04    0.29445E-02    0.65935E-08    0.17130E-07    0.51293E-04    0.46981E-04
    29    0.11698E+04    0.20810E+01    0.43078E-04    0.36820E-02    0.30031E-02    0.20810E+01    0.21264E-01   -0.23017E-07    0.88609E-08    0.74109E-08    0.43078E-04   -0.23017E-07    0.16267E-09    0.22306E-07    0.17473E-07    0.36820E-02    0.88609E-08    0.22306E-07    0.92455E-04    0.55628E-04    0.30031E-02    0.74109E-08    0.17473E-07    0.55628E-04    0.50877E-04
    30    0.11887E+04    0.21193E+01    0.40585E-04    0.37535E-02    0.30580E-02    0.21193E+01    0.23937E-01   -0.22768E-07    0.68264E-08    0.72833E-08    0.40585E-04   -0.22768E-07    0.15251E-09    0.22737E-07    0.17804E-07    0.37535E-02    0.68264E-08    0.22737E-07    0.99832E-04    0.60161E-04    0.30580E-02    0.72833E-08    0.17804E-07    0.60161E-04    0.54948E-04
    31    0.12076E+04    0.21490E+01    0.38294E-04    0.38222E-02    0.31102E-02    0.21490E+01    0.26837E-01   -0.22518E-07    0.57652E-08    0.54722E-08    0.38294E-04   -0.22518E-07    0.14320E-09    0.23153E-07    0.18122E-07    0.38222E-02    0.57652E-08    0.23153E-07    0.10752E-03    0.64893E-04    0.31102E-02    0.54722E-08    0.18122E-07    0.64893E-04    0.59192E-04
    32    0.12270E+04    0.21703E+01    0.36177E-04    0.38872E-02    0.31611E-02    0.21703E+01    0.29969E-01   -0.22267E-07    0.58550E-08    0.15581E-08    0.36177E-04   -0.22267E-07    0.13468E-09    0.23553E-07    0.18429E-07    0.38872E-02    0.58550E-08    0.23553E-07    0.11553E-03    0.69825E-04    0.31611E-02    0.15581E-08    0.18429E-07    0.69825E-04    0.63611E-04
    33    0.12467E+04    0.21822E+01    0.34221E-04    0.39489E-02    0.32117E-02    0.21822E+01    0.33337E-01   -0.22016E-07    0.46417E-08   -0.32004E-08    0.34221E-04   -0.22016E-07    0.12684E-09    0.23939E-07    0.18724E-07    0.39489E-02    0.46417E-08    0.23939E-07    0.12386E-03    0.74957E-04    0.32117E-02   -0.32004E-08    0.18724E-07    0.74957E-04    0.68204E-04
    34    0.12667E+04    0.21845E+01    0.32414E-04    0.40081E-02    0.32628E-02    0.21845E+01    0.36955E-01   -0.21766E-07    0.93113E-10   -0.68728E-08    0.32414E-04   -0.21766E-07    0.11963E-09    0.24311E-07    0.19008E-07    0.40081E-02    0.93113E-10    0.24311E-07    0.13250E-03    0.80287E-04    0.32628E-02   -0.68728E-08    0.19008E-07    0.80287E-04    0.72971E-04
    35    0.12868E+04    0.21777E+01    0.30738E-04    0.40660E-02    0.33124E-02    0.21777E+01    0.40828E-01   -0.21514E-07   -0.55035E-08   -0.65188E-08    0.30738E-04   -0.21514E-07    0.11297E-09    0.24669E-07    0.19281E-07    0.40660E-02   -0.55035E-08    0.24669E-07    0.14146E-03    0.85816E-04    0.33124E-02   -0.65188E-08    0.19281E-07    0.85816E-04    0.77911E-04
    36    0.13070E+04    0.21612E+01    0.29176E-04    0.41232E-02    0.33586E-02    0.21612E+01    0.44966E-01   -0.21259E-07   -0.88422E-08   -0.70204E-09    0.29176E-04   -0.21259E-07    0.10681E-09    0.25014E-07    0.19543E-07    0.41232E-02   -0.88422E-08    0.25014E-07    0.15073E-03    0.91543E-04    0.33586E-02   -0.70204E-09    0.19543E-07    0.91543E-04    0.83024E-04
    37    0.13273E+04    0.21326E+01    0.27724E-04    0.41776E-02    0.34014E-02    0.21326E+01    0.49373E-01   -0.21000E-07   -0.68618E-08    0.49867E-08    0.27724E-04   -0.21000E-07    0.10111E-09    0.25345E-07    0.19794E-07    0.41776E-02   -0.68618E-08    0.25345E-07    0.16032E-03    0.97466E-04    0.34014E-02    0.49867E-08    0.19794E-07    0.97466E-04    0.88308E-04
    38    0.13480E+04    0.20917E+01    0.26376E-04    0.42273E-02    0.34412E-02    0.20917E+01    0.54059E-01   -0.20737E-07    0.19714E-08    0.51052E-08    0.26376E-04   -0.20737E-07    0.95812E-10    0.25662E-07    0.20036E-07    0.42273E-02    0.19714E-08    0.25662E-07    0.17021E-03    0.10359E-03    0.34412E-02    0.51052E-08    0.20036E-07    0.10359E-03    0.93763E-04
    39    0.13692E+04    0.20389E+01    0.25124E-04    0.42732E-02    0.34784E-02    0.20389E+01    0.59025E-01   -0.20469E-07    0.13326E-07    0.18328E-08    0.25124E-04   -0.20469E-07    0.90891E-10    0.25967E-07    0.20267E-07    0.42732E-02    0.13326E-07    0.25967E-07    0.18042E-03    0.10990E-03    0.34784E-02    0.18328E-08    0.20267E-07    0.10990E-03    0.99387E-04
    40    0.13905E+04    0.19750E+01    0.23954E-04    0.43164E-02    0.35134E-02    0.19750E+01    0.64274E-01   -0.20199E-07    0.21406E-07   -0.74605E-09    0.23954E-04   -0.20199E-07    0.86309E-10    0.26259E-07    0.20488E-07    0.43164E-02    0.21406E-07    0.26259E-07    0.19093E-03    0.11640E-03    0.35134E-02   -0.74605E-09    0.20488E-07    0.11640E-03    0.10518E-03
    41    0.14121E+04    0.18999E+01    0.22855E-04    0.43583E-02    0.35468E-02    0.18999E+01    0.69815E-01   -0.19929E-07    0.21830E-07    0.44958E-09    0.22855E-04   -0.19929E-07    0.82032E-10    0.26539E-07    0.20699E-07    0.43583E-02    0.21830E-07    0.26539E-07    0.20174E-03    0.12310E-03    0.35468E-02    0.44958E-09    0.20699E-07    0.12310E-03    0.11114E-03
