#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    31    0.85731E+01    0.13891E-06    0.30179E-04    0.12929E-01    0.31855E-01    0.13891E-06    0.25511E-13    0.45649E-12    0.47743E-09    0.85147E-09    0.30179E-04    0.45649E-12    0.10901E-09    0.50261E-07    0.12072E-06    0.12929E-01    0.47743E-09    0.50261E-07    0.30676E-03    0.42073E-03    0.31855E-01    0.85147E-09    0.12072E-06    0.42073E-03    0.60920E-03
    32    0.80040E+01    0.16031E-03    0.28273E-04    0.13095E-01    0.31948E-01    0.16031E-03    0.18985E-05    0.24889E-12    0.15226E-09    0.34133E-09    0.28273E-04    0.24889E-12    0.10202E-09    0.50891E-07    0.12100E-06    0.13095E-01    0.15226E-09    0.50891E-07    0.32558E-03    0.44736E-03    0.31948E-01    0.34133E-09    0.12100E-06    0.44736E-03    0.64822E-03
    33    0.75419E+01    0.50158E-07    0.26523E-04    0.13250E-01    0.32023E-01    0.50158E-07    0.20686E-13    0.14087E-12   -0.31344E-11    0.86654E-10    0.26523E-04    0.14087E-12    0.95613E-10    0.51480E-07    0.12122E-06    0.13250E-01   -0.31344E-11    0.51480E-07    0.34489E-03    0.47473E-03    0.32023E-01    0.86654E-10    0.12122E-06    0.47473E-03    0.68834E-03
    34    0.70693E+01   -0.27666E-03    0.24913E-04    0.13396E-01    0.32081E-01   -0.27666E-03    0.58091E-06    0.12623E-12    0.20224E-10    0.10348E-09    0.24913E-04    0.12623E-12    0.89733E-10    0.52031E-07    0.12138E-06    0.13396E-01    0.20224E-10    0.52031E-07    0.36469E-03    0.50282E-03    0.32081E-01    0.10348E-09    0.12138E-06    0.50282E-03    0.72953E-03
    35    0.66669E+01    0.58626E-07    0.23428E-04    0.13531E-01    0.32124E-01    0.58626E-07    0.16771E-13    0.18512E-12    0.20807E-09    0.37108E-09    0.23428E-04    0.18512E-12    0.84325E-10    0.52544E-07    0.12149E-06    0.13531E-01    0.20807E-09    0.52544E-07    0.38496E-03    0.53162E-03    0.32124E-01    0.37108E-09    0.12149E-06    0.53162E-03    0.77176E-03
    36    0.63341E+01    0.46383E-03    0.22058E-04    0.13657E-01    0.32151E-01    0.46383E-03   -0.13653E-06    0.29396E-12    0.53742E-09    0.85487E-09    0.22058E-04    0.29396E-12    0.79341E-10    0.53020E-07    0.12155E-06    0.13657E-01    0.53742E-09    0.53020E-07    0.40570E-03    0.56110E-03    0.32151E-01    0.85487E-09    0.12155E-06    0.56110E-03    0.81500E-03
    37    0.59192E+01    0.12156E-06    0.20791E-04    0.13773E-01    0.32164E-01    0.12156E-06    0.15318E-13    0.42796E-12    0.97378E-09    0.15014E-08    0.20791E-04    0.42796E-12    0.74740E-10    0.53460E-07    0.12157E-06    0.13773E-01    0.97378E-09    0.53460E-07    0.42688E-03    0.59125E-03    0.32164E-01    0.15014E-08    0.12157E-06    0.59125E-03    0.85923E-03
    38    0.55611E+01   -0.55392E-03    0.19617E-04    0.13880E-01    0.32163E-01   -0.55392E-03    0.41830E-05    0.56406E-12    0.14755E-08    0.22468E-08    0.19617E-04    0.56406E-12    0.70484E-10    0.53864E-07    0.12154E-06    0.13880E-01    0.14755E-08    0.53864E-07    0.44850E-03    0.62204E-03    0.32163E-01    0.22468E-08    0.12154E-06    0.62204E-03    0.90441E-03
    39    0.53010E+01   -0.64611E-03    0.18528E-04    0.13977E-01    0.32149E-01   -0.64611E-03    0.55145E-05    0.68725E-12    0.19841E-08    0.30040E-08    0.18528E-04    0.68725E-12    0.66542E-10    0.54233E-07    0.12146E-06    0.13977E-01    0.19841E-08    0.54233E-07    0.47054E-03    0.65345E-03    0.32149E-01    0.30040E-08    0.12146E-06    0.65345E-03    0.95050E-03
    40    0.49887E+01    0.21539E-06    0.17516E-04    0.14066E-01    0.32122E-01    0.21539E-06    0.26417E-13    0.78455E-12    0.24369E-08    0.36802E-08    0.17516E-04    0.78455E-12    0.62884E-10    0.54569E-07    0.12133E-06    0.14066E-01    0.24369E-08    0.54569E-07    0.49297E-03    0.68545E-03    0.32122E-01    0.36802E-08    0.12133E-06    0.68545E-03    0.99746E-03
