#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    27    0.11115E+02    0.36304E-06    0.39078E-04    0.12260E-01    0.30981E-01    0.36304E-06    0.37627E-13    0.12663E-11    0.12926E-08    0.21298E-08    0.39078E-04    0.12663E-11    0.14088E-09    0.47742E-07    0.11720E-06    0.12260E-01    0.12926E-08    0.47742E-07    0.23810E-03    0.32388E-03    0.30981E-01    0.21298E-08    0.11720E-06    0.32388E-03    0.46586E-03
    28    0.10317E+02   -0.24448E-03    0.36335E-04    0.12472E-01    0.31132E-01   -0.24448E-03    0.62322E-06    0.88310E-12    0.90402E-09    0.15144E-08    0.36335E-04    0.88310E-12    0.13080E-09    0.48543E-07    0.11767E-06    0.12472E-01    0.90402E-09    0.48543E-07    0.25485E-03    0.34746E-03    0.31132E-01    0.15144E-08    0.11767E-06    0.34746E-03    0.50023E-03
    29    0.96414E+01    0.16866E-06    0.33840E-04    0.12671E-01    0.31259E-01    0.16866E-06    0.14960E-13    0.57034E-12    0.51109E-09    0.90447E-09    0.33840E-04    0.57034E-12    0.12166E-09    0.49294E-07    0.11807E-06    0.12671E-01    0.51109E-09    0.49294E-07    0.27212E-03    0.37181E-03    0.31259E-01    0.90447E-09    0.11807E-06    0.37181E-03    0.53574E-03
    30    0.90692E+01    0.16594E-04    0.31564E-04    0.12856E-01    0.31362E-01    0.16594E-04   -0.21393E-05    0.36193E-12    0.19723E-09    0.42496E-09    0.31564E-04    0.36193E-12    0.11335E-09    0.49996E-07    0.11839E-06    0.12856E-01    0.19723E-09    0.49996E-07    0.28989E-03    0.39692E-03    0.31362E-01    0.42496E-09    0.11839E-06    0.39692E-03    0.57236E-03
    31    0.84104E+01    0.81851E-07    0.29484E-04    0.13030E-01    0.31444E-01    0.81851E-07    0.95722E-14    0.26128E-12    0.15834E-11    0.13362E-09    0.29484E-04    0.26128E-12    0.10577E-09    0.50652E-07    0.11864E-06    0.13030E-01    0.15834E-11    0.50652E-07    0.30817E-03    0.42277E-03    0.31444E-01    0.13362E-09    0.11864E-06    0.42277E-03    0.61008E-03
    32    0.78392E+01    0.16031E-03    0.27580E-04    0.13192E-01    0.31508E-01    0.16031E-03    0.18985E-05    0.26002E-12   -0.55165E-10    0.59905E-10    0.27580E-04    0.26002E-12    0.98855E-10    0.51265E-07    0.11883E-06    0.13192E-01   -0.55165E-10    0.51265E-07    0.32693E-03    0.44935E-03    0.31508E-01    0.59905E-10    0.11883E-06    0.44935E-03    0.64888E-03
    33    0.73755E+01    0.99671E-07    0.25834E-04    0.13343E-01    0.31554E-01    0.99671E-07    0.89598E-14    0.33318E-12    0.18170E-10    0.18753E-09    0.25834E-04    0.33318E-12    0.92526E-10    0.51837E-07    0.11896E-06    0.13343E-01    0.18170E-10    0.51837E-07    0.34618E-03    0.47665E-03    0.31554E-01    0.18753E-09    0.11896E-06    0.47665E-03    0.68873E-03
    34    0.69017E+01   -0.27657E-03    0.24229E-04    0.13483E-01    0.31584E-01   -0.27657E-03    0.58091E-06    0.45191E-12    0.20422E-09    0.48661E-09    0.24229E-04    0.45191E-12    0.86720E-10    0.52368E-07    0.11903E-06    0.13483E-01    0.20422E-09    0.52368E-07    0.36590E-03    0.50463E-03    0.31584E-01    0.48661E-09    0.11903E-06    0.50463E-03    0.72960E-03
    35    0.64986E+01    0.16739E-06    0.22751E-04    0.13613E-01    0.31597E-01    0.16739E-06    0.12364E-13    0.58837E-12    0.48094E-09    0.91861E-09    0.22751E-04    0.58837E-12    0.81383E-10    0.52860E-07    0.11906E-06    0.13613E-01    0.48094E-09    0.52860E-07    0.38607E-03    0.53330E-03    0.31597E-01    0.91861E-09    0.11906E-06    0.53330E-03    0.77147E-03
    36    0.61654E+01    0.46394E-03    0.21387E-04    0.13733E-01    0.31595E-01    0.46394E-03   -0.13653E-06    0.71728E-12    0.82005E-09    0.14363E-08    0.21387E-04    0.71728E-12    0.76469E-10    0.53313E-07    0.11903E-06    0.13733E-01    0.82005E-09    0.53313E-07    0.40667E-03    0.56261E-03    0.31595E-01    0.14363E-08    0.11903E-06    0.56261E-03    0.81430E-03
