#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    53    0.30066E+01    0.92855E-02    0.90507E-05    0.14632E-01    0.30966E-01    0.92855E-02   -0.34961E-03    0.14827E-12   -0.30345E-09   -0.24909E-09    0.90507E-05    0.14827E-12    0.32441E-10    0.56700E-07    0.11693E-06    0.14632E-01   -0.30345E-09    0.56700E-07    0.81942E-03    0.11529E-02    0.30966E-01   -0.24909E-09    0.11693E-06    0.11529E-02    0.16829E-02
    54    0.27064E+01    0.33016E-02    0.86418E-05    0.14626E-01    0.30821E-01    0.33016E-02   -0.23463E-03    0.11187E-12   -0.50164E-09   -0.54360E-09    0.86418E-05    0.11187E-12    0.30979E-10    0.56675E-07    0.11639E-06    0.14626E-01   -0.50164E-09    0.56675E-07    0.84608E-03    0.11912E-02    0.30821E-01   -0.54360E-09    0.11639E-06    0.11912E-02    0.17392E-02
    55    0.23477E+01    0.24587E-07    0.82561E-05    0.14616E-01    0.30672E-01    0.24587E-07    0.41957E-14    0.86882E-13   -0.60073E-09   -0.69628E-09    0.82561E-05    0.86882E-13    0.29600E-10    0.56632E-07    0.11584E-06    0.14616E-01   -0.60073E-09    0.56632E-07    0.87293E-03    0.12298E-02    0.30672E-01   -0.69628E-09    0.11584E-06    0.12298E-02    0.17958E-02
    56    0.21425E+01   -0.17291E-02    0.78919E-05    0.14601E-01    0.30519E-01   -0.17291E-02    0.21343E-03    0.72683E-13   -0.59089E-09   -0.69317E-09    0.78919E-05    0.72683E-13    0.28297E-10    0.56573E-07    0.11527E-06    0.14601E-01   -0.59089E-09    0.56573E-07    0.89994E-03    0.12686E-02    0.30519E-01   -0.69317E-09    0.11527E-06    0.12686E-02    0.18528E-02
    57    0.20248E+01   -0.18358E-02    0.75476E-05    0.14582E-01    0.30361E-01   -0.18358E-02    0.29820E-03    0.67795E-13   -0.48045E-09   -0.54603E-09    0.75476E-05    0.67795E-13    0.27066E-10    0.56497E-07    0.11468E-06    0.14582E-01   -0.48045E-09    0.56497E-07    0.92709E-03    0.13077E-02    0.30361E-01   -0.54603E-09    0.11468E-06    0.13077E-02    0.19102E-02
    58    0.20075E+01   -0.12124E-02    0.72222E-05    0.14558E-01    0.30200E-01   -0.12124E-02    0.26287E-03    0.70533E-13   -0.28232E-09   -0.27305E-09    0.72222E-05    0.70533E-13    0.25903E-10    0.56405E-07    0.11408E-06    0.14558E-01   -0.28232E-09    0.56405E-07    0.95435E-03    0.13469E-02    0.30200E-01   -0.27305E-09    0.11408E-06    0.13469E-02    0.19678E-02
    59    0.19553E+01   -0.77348E-03    0.69144E-05    0.14531E-01    0.30034E-01   -0.77348E-03    0.14575E-03    0.79208E-13   -0.93753E-11    0.10757E-09    0.69144E-05    0.79208E-13    0.24803E-10    0.56296E-07    0.11347E-06    0.14531E-01   -0.93753E-11    0.56296E-07    0.98169E-03    0.13862E-02    0.30034E-01    0.10757E-09    0.11347E-06    0.13862E-02    0.20256E-02
    60    0.18810E+01    0.25448E-07    0.66230E-05    0.14499E-01    0.29864E-01    0.25448E-07    0.25315E-14    0.92134E-13    0.32548E-09    0.57765E-09    0.66230E-05    0.92134E-13    0.23761E-10    0.56170E-07    0.11284E-06    0.14499E-01    0.32548E-09    0.56170E-07    0.10091E-02    0.14256E-02    0.29864E-01    0.57765E-09    0.11284E-06    0.14256E-02    0.20836E-02
    61    0.20911E+01    0.18113E-02    0.63467E-05    0.14462E-01    0.29690E-01    0.18113E-02   -0.80085E-04    0.10769E-12    0.70760E-09    0.11165E-08    0.63467E-05    0.10769E-12    0.22773E-10    0.56027E-07    0.11219E-06    0.14462E-01    0.70760E-09    0.56027E-07    0.10365E-02    0.14651E-02    0.29690E-01    0.11165E-08    0.11219E-06    0.14651E-02    0.21416E-02
    62    0.19850E+01    0.37228E-02    0.60848E-05    0.14421E-01    0.29512E-01    0.37228E-02   -0.10301E-03    0.12449E-12    0.11153E-08    0.16932E-08    0.60848E-05    0.12449E-12    0.21837E-10    0.55868E-07    0.11153E-06    0.14421E-01    0.11153E-08    0.55868E-07    0.10640E-02    0.15047E-02    0.29512E-01    0.16932E-08    0.11153E-06    0.15047E-02    0.21997E-02
