#    L    TT             EE             TE             PP             TP          
   109    0.44114E+00    0.37543E-04   -0.16942E-03    0.25443E+07    0.23821E+04
   110    0.35488E+00    0.37504E-15    0.45270E-08    0.25224E+07    0.23403E+04
   111    0.25855E+00    0.25783E-04   -0.72092E-03    0.25007E+07    0.22996E+04
   112    0.15925E+00    0.51254E-04   -0.21128E-02    0.24794E+07    0.22597E+04
   113    0.13905E+00    0.86308E-04   -0.32119E-02    0.24583E+07    0.22209E+04
   114    0.57192E-01    0.66557E-04   -0.37972E-02    0.24375E+07    0.21829E+04
   115    0.70036E-01    0.15046E-03   -0.43908E-02    0.24170E+07    0.21458E+04
   116   -0.37470E-01    0.12507E-03   -0.47717E-02    0.23968E+07    0.21096E+04
   117    0.39607E-01    0.74553E-04   -0.47190E-02    0.23769E+07    0.20743E+04
   118    0.16050E+00    0.15738E-03   -0.54974E-02    0.23572E+07    0.20398E+04
   119    0.18443E+00    0.23488E-03   -0.54004E-02    0.23378E+07    0.20060E+04
   120    0.26778E+00    0.16838E-03   -0.49499E-02    0.23186E+07    0.19731E+04
   121    0.26976E+00    0.26490E-03   -0.46678E-02    0.22997E+07    0.19410E+04
   122    0.27246E+00    0.23721E-03   -0.43333E-02    0.22811E+07    0.19096E+04
   123    0.28369E+00    0.16949E-03   -0.44681E-02    0.22627E+07    0.18789E+04
   124    0.31123E+00    0.14592E-03   -0.26230E-02    0.22446E+07    0.18489E+04
   125    0.28861E+00    0.10210E-03   -0.15484E-02    0.22267E+07    0.18196E+04
   126    0.29790E+00    0.12222E-03   -0.10233E-02    0.22090E+07    0.17910E+04
   127    0.27261E+00    0.67608E-04   -0.82677E-03    0.21916E+07    0.17630E+04
   128    0.22055E+00    0.96719E-04   -0.73800E-03    0.21745E+07    0.17356E+04
   129    0.22380E+00    0.70884E-04   -0.53605E-03    0.21575E+07    0.17089E+04
   130    0.21587E+00    0.22502E-14    0.76825E-08    0.21408E+07    0.16827E+04
   131    0.20490E+00    0.40701E-04   -0.11275E-02    0.21243E+07    0.16570E+04
   132    0.27463E+00    0.45184E-04   -0.14194E-02    0.21081E+07    0.16320E+04
   133    0.28632E+00    0.86669E-04   -0.35664E-02    0.20920E+07    0.16074E+04
   134    0.32404E+00    0.16409E-03   -0.35737E-02    0.20762E+07    0.15834E+04
   135    0.39761E+00    0.20211E-03   -0.48750E-02    0.20606E+07    0.15598E+04
   136    0.36826E+00    0.19965E-03   -0.42183E-02    0.20452E+07    0.15368E+04
   137    0.39437E+00    0.22994E-03   -0.42943E-02    0.20300E+07    0.15142E+04
   138    0.41146E+00    0.21763E-03   -0.40796E-02    0.20150E+07    0.14922E+04
   139    0.28078E+00    0.31022E-03   -0.32936E-02    0.20002E+07    0.14705E+04
   140    0.30925E+00    0.28381E-03   -0.31413E-02    0.19856E+07    0.14494E+04
   141    0.20956E+00    0.21161E-03   -0.18566E-02    0.19711E+07    0.14286E+04
   142    0.21437E+00    0.16683E-03   -0.64437E-03    0.19569E+07    0.14083E+04
   143    0.25918E+00    0.14843E-03    0.33036E-04    0.19428E+07    0.13884E+04
   144    0.20525E+00    0.81045E-04    0.45625E-03    0.19290E+07    0.13689E+04
