#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    26    0.11148E+04    0.19194E+01    0.52045E-04    0.16916E-04   -0.18551E-03    0.19194E+01    0.14486E-01   -0.23723E-07    0.25738E-08   -0.51439E-08    0.52045E-04   -0.23723E-07    0.19951E-09   -0.63028E-09    0.11272E-08    0.16916E-04    0.25738E-08   -0.63028E-09    0.21208E-05   -0.52113E-05   -0.18551E-03   -0.51439E-08    0.11272E-08   -0.52113E-05    0.16701E-04
    27    0.11328E+04    0.19803E+01    0.48779E-04    0.14177E-04   -0.17207E-03    0.19803E+01    0.16544E-01   -0.23497E-07    0.20384E-08   -0.28513E-08    0.48779E-04   -0.23497E-07    0.18603E-09   -0.60696E-09    0.10971E-08    0.14177E-04    0.20384E-08   -0.60696E-09    0.21350E-05   -0.52259E-05   -0.17207E-03   -0.28513E-08    0.10971E-08   -0.52259E-05    0.16795E-04
    28    0.11511E+04    0.20342E+01    0.45800E-04    0.12499E-04   -0.15839E-03    0.20342E+01    0.18803E-01   -0.23261E-07    0.10638E-08   -0.20490E-08    0.45800E-04   -0.23261E-07    0.17380E-09   -0.58502E-09    0.10681E-08    0.12499E-04    0.10638E-08   -0.58502E-09    0.21460E-05   -0.52325E-05   -0.15839E-03   -0.20490E-08    0.10681E-08   -0.52325E-05    0.16863E-04
    29    0.11698E+04    0.20810E+01    0.43078E-04    0.11090E-04   -0.14450E-03    0.20810E+01    0.21264E-01   -0.23017E-07    0.88699E-10   -0.37198E-09    0.43078E-04   -0.23017E-07    0.16267E-09   -0.56434E-09    0.10402E-08    0.11090E-04    0.88699E-10   -0.56434E-09    0.21537E-05   -0.52318E-05   -0.14450E-03   -0.37198E-09    0.10402E-08   -0.52318E-05    0.16906E-04
    30    0.11887E+04    0.21193E+01    0.40585E-04    0.91452E-05   -0.13128E-03    0.21193E+01    0.23937E-01   -0.22768E-07   -0.78797E-09    0.46905E-08    0.40585E-04   -0.22768E-07    0.15251E-09   -0.54478E-09    0.10131E-08    0.91452E-05   -0.78797E-09   -0.54478E-09    0.21586E-05   -0.52242E-05   -0.13128E-03    0.46905E-08    0.10131E-08   -0.52242E-05    0.16926E-04
    31    0.12076E+04    0.21490E+01    0.38294E-04    0.69938E-05   -0.12048E-03    0.21490E+01    0.26837E-01   -0.22518E-07   -0.18049E-08    0.10670E-07    0.38294E-04   -0.22518E-07    0.14320E-09   -0.52626E-09    0.98700E-09    0.69938E-05   -0.18049E-08   -0.52626E-09    0.21607E-05   -0.52103E-05   -0.12048E-03    0.10670E-07    0.98700E-09   -0.52103E-05    0.16925E-04
    32    0.12270E+04    0.21703E+01    0.36177E-04    0.52352E-05   -0.11340E-03    0.21703E+01    0.29969E-01   -0.22267E-07   -0.31132E-08    0.13933E-07    0.36177E-04   -0.22267E-07    0.13468E-09   -0.50873E-09    0.96183E-09    0.52352E-05   -0.31132E-08   -0.50873E-09    0.21602E-05   -0.51907E-05   -0.11340E-03    0.13933E-07    0.96183E-09   -0.51907E-05    0.16904E-04
    33    0.12467E+04    0.21822E+01    0.34221E-04    0.44074E-05   -0.10861E-03    0.21822E+01    0.33337E-01   -0.22016E-07   -0.41761E-08    0.11174E-07    0.34221E-04   -0.22016E-07    0.12684E-09   -0.49212E-09    0.93757E-09    0.44074E-05   -0.41761E-08   -0.49212E-09    0.21575E-05   -0.51660E-05   -0.10861E-03    0.11174E-07    0.93757E-09   -0.51660E-05    0.16865E-04
    34    0.12667E+04    0.21845E+01    0.32414E-04    0.47227E-05   -0.10396E-03    0.21845E+01    0.36955E-01   -0.21766E-07   -0.41672E-08    0.95725E-09    0.32414E-04   -0.21766E-07    0.11963E-09   -0.47634E-09    0.91416E-09    0.47227E-05   -0.41672E-08   -0.47634E-09    0.21526E-05   -0.51366E-05   -0.10396E-03    0.95725E-09    0.91416E-09   -0.51366E-05    0.16809E-04
    35    0.12868E+04    0.21777E+01    0.30738E-04    0.51518E-05   -0.96983E-04    0.21777E+01    0.40828E-01   -0.21514E-07   -0.17880E-08   -0.11004E-07    0.30738E-04   -0.21514E-07    0.11297E-09   -0.46134E-09    0.89157E-09    0.51518E-05   -0.17880E-08   -0.46134E-09    0.21457E-05   -0.51028E-05   -0.96983E-04   -0.11004E-07    0.89157E-09   -0.51028E-05    0.16738E-04
    36    0.13070E+04    0.21612E+01    0.29176E-04    0.46382E-05   -0.86481E-04    0.21612E+01    0.44966E-01   -0.21259E-07    0.32572E-08   -0.17866E-07    0.29176E-04   -0.21259E-07    0.10681E-09   -0.44706E-09    0.86976E-09    0.46382E-05    0.32572E-08   -0.44706E-09    0.21370E-05   -0.50651E-05   -0.86481E-04   -0.17866E-07    0.86976E-09   -0.50651E-05    0.16653E-04
    37    0.13273E+04    0.21326E+01    0.27724E-04    0.32577E-05   -0.76496E-04    0.21326E+01    0.49373E-01   -0.21000E-07    0.67813E-08   -0.15426E-07    0.27724E-04   -0.21000E-07    0.10111E-09   -0.43346E-09    0.84868E-09    0.32577E-05    0.67813E-08   -0.43346E-09    0.21265E-05   -0.50240E-05   -0.76496E-04   -0.15426E-07    0.84868E-09   -0.50240E-05    0.16556E-04
    38    0.13480E+04    0.20917E+01    0.26376E-04    0.13833E-05   -0.71050E-04    0.20917E+01    0.54059E-01   -0.20737E-07    0.50012E-08   -0.21947E-08    0.26376E-04   -0.20737E-07    0.95812E-10   -0.42048E-09    0.82830E-09    0.13833E-05    0.50012E-08   -0.42048E-09    0.21145E-05   -0.49797E-05   -0.71050E-04   -0.21947E-08    0.82830E-09   -0.49797E-05    0.16446E-04
    39    0.13692E+04    0.20389E+01    0.25124E-04   -0.55673E-06   -0.68815E-04    0.20389E+01    0.59025E-01   -0.20469E-07    0.23218E-09    0.15084E-07    0.25124E-04   -0.20469E-07    0.90891E-10   -0.40808E-09    0.80859E-09   -0.55673E-06    0.23218E-09   -0.40808E-09    0.21011E-05   -0.49325E-05   -0.68815E-04    0.15084E-07    0.80859E-09   -0.49325E-05    0.16326E-04
    40    0.13905E+04    0.19750E+01    0.23954E-04   -0.21205E-05   -0.67125E-04    0.19750E+01    0.64274E-01   -0.20199E-07   -0.36860E-08    0.27610E-07    0.23954E-04   -0.20199E-07    0.86309E-10   -0.39622E-09    0.78952E-09   -0.21205E-05   -0.36860E-08   -0.39622E-09    0.20864E-05   -0.48828E-05   -0.67125E-04    0.27610E-07    0.78952E-09   -0.48828E-05    0.16196E-04
    41    0.14121E+04    0.18999E+01    0.22855E-04   -0.29814E-05   -0.63856E-04    0.18999E+01    0.69815E-01   -0.19929E-07   -0.38337E-08    0.28752E-07    0.22855E-04   -0.19929E-07    0.82032E-10   -0.38486E-09    0.77105E-09   -0.29814E-05   -0.38337E-08   -0.38486E-09    0.20704E-05   -0.48308E-05   -0.63856E-04    0.28752E-07    0.77105E-09   -0.48308E-05    0.16057E-04
    42    0.14336E+04    0.18126E+01    0.21823E-04   -0.32758E-05   -0.59047E-04    0.18126E+01    0.75661E-01   -0.19657E-07   -0.97123E-09    0.20564E-07    0.21823E-04   -0.19657E-07    0.78038E-10   -0.37397E-09    0.75315E-09   -0.32758E-05   -0.97123E-09   -0.37397E-09    0.20534E-05   -0.47769E-05   -0.59047E-04    0.20564E-07    0.75315E-09   -0.47769E-05    0.15910E-04
    43    0.14554E+04    0.17116E+01    0.20853E-04   -0.32553E-05   -0.53280E-04    0.17116E+01    0.81823E-01   -0.19386E-07    0.32208E-08    0.72676E-08    0.20853E-04   -0.19386E-07    0.74305E-10   -0.36354E-09    0.73582E-09   -0.32553E-05    0.32208E-08   -0.36354E-09    0.20354E-05   -0.47211E-05   -0.53280E-04    0.72676E-08    0.73582E-09   -0.47211E-05    0.15756E-04
    44    0.14771E+04    0.15965E+01    0.19941E-04   -0.31718E-05   -0.47136E-04    0.15965E+01    0.88301E-01   -0.19116E-07    0.70620E-08   -0.69121E-08    0.19941E-04   -0.19116E-07    0.70812E-10   -0.35353E-09    0.71903E-09   -0.31718E-05    0.70620E-08   -0.35353E-09    0.20165E-05   -0.46639E-05   -0.47136E-04   -0.69121E-08    0.71903E-09   -0.46639E-05    0.15595E-04
    45    0.14992E+04    0.14669E+01    0.19084E-04   -0.32770E-05   -0.41196E-04    0.14669E+01    0.95101E-01   -0.18847E-07    0.88717E-08   -0.17752E-07    0.19084E-04   -0.18847E-07    0.67538E-10   -0.34392E-09    0.70275E-09   -0.32770E-05    0.88717E-08   -0.34392E-09    0.19968E-05   -0.46052E-05   -0.41196E-04   -0.17752E-07    0.70275E-09   -0.46052E-05    0.15429E-04
    46    0.15216E+04    0.13206E+01    0.18277E-04   -0.37452E-05   -0.35968E-04    0.13206E+01    0.10223E+00   -0.18579E-07    0.74781E-08   -0.22033E-07    0.18277E-04   -0.18579E-07    0.64463E-10   -0.33468E-09    0.68697E-09   -0.37452E-05    0.74781E-08   -0.33468E-09    0.19764E-05   -0.45455E-05   -0.35968E-04   -0.22033E-07    0.68697E-09   -0.45455E-05    0.15258E-04
    47    0.15442E+04    0.11587E+01    0.17517E-04   -0.44413E-05   -0.31673E-04    0.11587E+01    0.10969E+00   -0.18312E-07    0.37429E-08   -0.20555E-07    0.17517E-04   -0.18312E-07    0.61572E-10   -0.32580E-09    0.67167E-09   -0.44413E-05    0.37429E-08   -0.32580E-09    0.19554E-05   -0.44848E-05   -0.31673E-04   -0.20555E-07    0.67167E-09   -0.44848E-05    0.15082E-04
    48    0.15669E+04    0.98565E+00    0.16800E-04   -0.51526E-05   -0.28455E-04    0.98565E+00    0.11747E+00   -0.18046E-07   -0.96374E-09   -0.15121E-07    0.16800E-04   -0.18046E-07    0.58854E-10   -0.31726E-09    0.65685E-09   -0.51526E-05   -0.96374E-09   -0.31726E-09    0.19338E-05   -0.44234E-05   -0.28455E-04   -0.15121E-07    0.65685E-09   -0.44234E-05    0.14902E-04
    49    0.15897E+04    0.80533E+00    0.16124E-04   -0.56664E-05   -0.26462E-04    0.80533E+00    0.12555E+00   -0.17782E-07   -0.52714E-08   -0.75336E-08    0.16124E-04   -0.17782E-07    0.56295E-10   -0.30905E-09    0.64248E-09   -0.56664E-05   -0.52714E-08   -0.30905E-09    0.19117E-05   -0.43612E-05   -0.26462E-04   -0.75336E-08    0.64248E-09   -0.43612E-05    0.14719E-04
    50    0.16129E+04    0.61483E+00    0.15484E-04   -0.57701E-05   -0.25839E-04    0.61483E+00    0.13391E+00   -0.17518E-07   -0.78099E-08    0.40221E-09    0.15484E-04   -0.17518E-07    0.53884E-10   -0.30114E-09    0.62856E-09   -0.57701E-05   -0.78099E-08   -0.30114E-09    0.18891E-05   -0.42986E-05   -0.25839E-04    0.40221E-09    0.62856E-09   -0.42986E-05    0.14533E-04
