#    L    TT             EE             TE             PP             TP          
   172    0.11315E-02    0.21656E-03   -0.56291E-02    0.15675E+07    0.92929E+03
   173   -0.25956E-01    0.34034E-04   -0.35315E-02    0.15575E+07    0.91798E+03
   174    0.24154E-01    0.66645E-04   -0.18610E-02    0.15477E+07    0.90685E+03
   175    0.85073E-01    0.00000E+00   -0.47008E-10    0.15380E+07    0.89589E+03
   176    0.16250E-01    0.36738E-04    0.19737E-02    0.15284E+07    0.88511E+03
   177   -0.25234E-01    0.70562E-04    0.26861E-02    0.15189E+07    0.87450E+03
   178   -0.10503E+00    0.28936E-03    0.37823E-02    0.15094E+07    0.86406E+03
   179   -0.21450E+00    0.36102E-03    0.54213E-02    0.15001E+07    0.85378E+03
   180   -0.19644E+00    0.47345E-03    0.62767E-02    0.14908E+07    0.84365E+03
   181   -0.26508E+00    0.59167E-03    0.65077E-02    0.14816E+07    0.83369E+03
   182   -0.33748E+00    0.75500E-03    0.77592E-02    0.14725E+07    0.82388E+03
   183   -0.47931E+00    0.85420E-03    0.87047E-02    0.14635E+07    0.81423E+03
   184   -0.53335E+00    0.92858E-03    0.10246E-01    0.14546E+07    0.80472E+03
   185   -0.56526E+00    0.10917E-02    0.10315E-01    0.14457E+07    0.79535E+03
   186   -0.93782E+00    0.11676E-02    0.12040E-01    0.14370E+07    0.78613E+03
   187   -0.97384E+00    0.12623E-02    0.14096E-01    0.14283E+07    0.77705E+03
   188   -0.10361E+01    0.13260E-02    0.15157E-01    0.14196E+07    0.76811E+03
   189   -0.11903E+01    0.13610E-02    0.16867E-01    0.14111E+07    0.75930E+03
   190   -0.98198E+00    0.13842E-02    0.17157E-01    0.14026E+07    0.75062E+03
   191   -0.11455E+01    0.13829E-02    0.19157E-01    0.13942E+07    0.74207E+03
   192   -0.11521E+01    0.13446E-02    0.20798E-01    0.13859E+07    0.73364E+03
   193   -0.12160E+01    0.12787E-02    0.20754E-01    0.13776E+07    0.72534E+03
   194   -0.11059E+01    0.11801E-02    0.21412E-01    0.13694E+07    0.71715E+03
   195   -0.10358E+01    0.10509E-02    0.20704E-01    0.13612E+07    0.70909E+03
   196   -0.99719E+00    0.89326E-03    0.19530E-01    0.13532E+07    0.70113E+03
   197   -0.83282E+00    0.71685E-03    0.16565E-01    0.13451E+07    0.69329E+03
   198   -0.60834E+00    0.50895E-03    0.12711E-01    0.13372E+07    0.68555E+03
   199   -0.31512E+00    0.27175E-03    0.73839E-02    0.13293E+07    0.67791E+03
   200    0.55470E-01    0.00000E+00   -0.21662E-11    0.13214E+07    0.67038E+03
   201    0.43620E+00   -0.28135E-03   -0.84539E-02    0.13137E+07    0.66295E+03
   202    0.90209E+00   -0.59737E-03   -0.18882E-01    0.13059E+07    0.65561E+03
   203    0.13780E+01   -0.92061E-03   -0.29875E-01    0.12982E+07    0.64837E+03
   204    0.17888E+01   -0.12608E-02   -0.43737E-01    0.12906E+07    0.64123E+03
   205    0.22822E+01   -0.16054E-02   -0.57575E-01    0.12831E+07    0.63418E+03
   206    0.27087E+01   -0.19491E-02   -0.71984E-01    0.12755E+07    0.62722E+03
   207    0.32162E+01   -0.23019E-02   -0.86745E-01    0.12681E+07    0.62036E+03
   208    0.35808E+01   -0.26435E-02   -0.10171E+00    0.12607E+07    0.61358E+03
   209    0.39504E+01   -0.29838E-02   -0.11658E+00    0.12533E+07    0.60690E+03
   210    0.43240E+01   -0.33028E-02   -0.13159E+00    0.12460E+07    0.60030E+03
   211    0.47008E+01   -0.36027E-02   -0.14613E+00    0.12387E+07    0.59379E+03
   212    0.49314E+01   -0.38858E-02   -0.16047E+00    0.12315E+07    0.58737E+03
   213    0.52377E+01   -0.41395E-02   -0.17389E+00    0.12244E+07    0.58103E+03
   214    0.54704E+01   -0.44033E-02   -0.18694E+00    0.12172E+07    0.57478E+03
   215    0.57029E+01   -0.45160E-02   -0.19969E+00    0.12102E+07    0.56861E+03
   216    0.58601E+01   -0.46954E-02   -0.21095E+00    0.12031E+07    0.56252E+03
   217    0.60896E+01   -0.48174E-02   -0.22206E+00    0.11962E+07    0.55651E+03
   218    0.62421E+01   -0.49140E-02   -0.23214E+00    0.11892E+07    0.55059E+03
   219    0.63909E+01   -0.50172E-02   -0.23956E+00    0.11823E+07    0.54474E+03
   220    0.65353E+01   -0.50105E-02   -0.24809E+00    0.11755E+07    0.53897E+03
