#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.260607E-01   0.969388E+07   0.965389E+07  -0.391042E+03  -0.391178E+03   0.000000E+00   0.968726E+07   0.968726E+07   0.968726E+07  -0.224200E+00   0.498772E+07   0.498740E+07   0.408877E+01
   0.269440E-01   0.943631E+07   0.939520E+07  -0.356091E+03  -0.356215E+03   0.000000E+00   0.942951E+07   0.942951E+07   0.942951E+07  -0.218235E+00   0.485501E+07   0.485468E+07   0.404670E+01
   0.278573E-01   0.917810E+07   0.913594E+07  -0.323999E+03  -0.324111E+03   0.000000E+00   0.917113E+07   0.917113E+07   0.917113E+07  -0.212255E+00   0.472198E+07   0.472164E+07   0.399392E+01
   0.288015E-01   0.891981E+07   0.887669E+07  -0.294563E+03  -0.294665E+03   0.000000E+00   0.891268E+07   0.891268E+07   0.891268E+07  -0.206273E+00   0.458891E+07   0.458857E+07   0.393002E+01
   0.297777E-01   0.866206E+07   0.861809E+07  -0.267593E+03  -0.267686E+03   0.000000E+00   0.865478E+07   0.865478E+07   0.865478E+07  -0.200305E+00   0.445613E+07   0.445579E+07   0.385460E+01
   0.307871E-01   0.840552E+07   0.836082E+07  -0.242912E+03  -0.242997E+03   0.000000E+00   0.839812E+07   0.839812E+07   0.839812E+07  -0.194365E+00   0.432398E+07   0.432364E+07   0.376740E+01
   0.318306E-01   0.815091E+07   0.810563E+07  -0.220355E+03  -0.220432E+03   0.000000E+00   0.814342E+07   0.814342E+07   0.814342E+07  -0.188470E+00   0.419284E+07   0.419249E+07   0.366823E+01
   0.329095E-01   0.789899E+07   0.785328E+07  -0.199766E+03  -0.199835E+03   0.000000E+00   0.789143E+07   0.789143E+07   0.789143E+07  -0.182638E+00   0.406310E+07   0.406275E+07   0.355704E+01
   0.340250E-01   0.765056E+07   0.760461E+07  -0.180998E+03  -0.181061E+03   0.000000E+00   0.764296E+07   0.764296E+07   0.764296E+07  -0.176887E+00   0.393517E+07   0.393482E+07   0.343390E+01
   0.351782E-01   0.740643E+07   0.736043E+07  -0.163917E+03  -0.163974E+03   0.000000E+00   0.739882E+07   0.739882E+07   0.739882E+07  -0.171237E+00   0.380948E+07   0.380913E+07   0.329908E+01
