#           k/h    P           
    0.79869E-01    0.86714E+04
    0.82603E-01    0.82331E+04
    0.85337E-01    0.77972E+04
    0.88071E-01    0.73729E+04
    0.90804E-01    0.69683E+04
    0.93538E-01    0.65905E+04
    0.96272E-01    0.62451E+04
    0.99006E-01    0.59360E+04
    0.10174E+00    0.56653E+04
    0.10447E+00    0.54329E+04
    0.10721E+00    0.52363E+04
    0.10994E+00    0.50717E+04
    0.11267E+00    0.49336E+04
    0.11541E+00    0.48165E+04
    0.11814E+00    0.47144E+04
    0.12088E+00    0.46217E+04
    0.12361E+00    0.45328E+04
    0.12634E+00    0.44428E+04
    0.12908E+00    0.43475E+04
    0.13181E+00    0.42437E+04
    0.13454E+00    0.41297E+04
    0.13728E+00    0.40055E+04
    0.14001E+00    0.38728E+04
    0.14275E+00    0.37341E+04
    0.14548E+00    0.35925E+04
    0.14821E+00    0.34510E+04
    0.15095E+00    0.33127E+04
    0.15368E+00    0.31798E+04
    0.15641E+00    0.30545E+04
    0.15915E+00    0.29386E+04
    0.16188E+00    0.28334E+04
    0.16462E+00    0.27398E+04
    0.16735E+00    0.26578E+04
    0.17008E+00    0.25870E+04
    0.17282E+00    0.25263E+04
    0.17555E+00    0.24739E+04
    0.17828E+00    0.24279E+04
    0.18102E+00    0.23865E+04
    0.18375E+00    0.23478E+04
    0.18649E+00    0.23102E+04
    0.18922E+00    0.22721E+04
    0.19195E+00    0.22324E+04
    0.19469E+00    0.21904E+04
    0.19742E+00    0.21454E+04
    0.20015E+00    0.20973E+04
    0.20289E+00    0.20463E+04
    0.20562E+00    0.19930E+04
    0.20836E+00    0.19382E+04
    0.21109E+00    0.18827E+04
    0.21382E+00    0.18274E+04
    0.21656E+00    0.17734E+04
    0.22522E+00    0.16191E+04
    0.23423E+00    0.14970E+04
    0.24359E+00    0.14072E+04
    0.25334E+00    0.13324E+04
    0.26347E+00    0.12519E+04
    0.27401E+00    0.11574E+04
    0.28496E+00    0.10587E+04
    0.29636E+00    0.97242E+03
    0.30821E+00    0.90478E+03
    0.32054E+00    0.84743E+03
    0.33336E+00    0.78813E+03
    0.34669E+00    0.72457E+03
    0.36056E+00    0.66531E+03
    0.37498E+00    0.61581E+03
    0.38998E+00    0.57214E+03
    0.40558E+00    0.52839E+03
    0.42180E+00    0.48544E+03
    0.43867E+00    0.44737E+03
    0.45621E+00    0.41355E+03
    0.47446E+00    0.38103E+03
    0.49343E+00    0.35020E+03
    0.51317E+00    0.32248E+03
    0.53369E+00    0.29694E+03
    0.55504E+00    0.27285E+03
    0.57723E+00    0.25077E+03
    0.60032E+00    0.23049E+03
    0.62433E+00    0.21160E+03
    0.64930E+00    0.19424E+03
    0.81088E+00    0.11868E+03
    0.10127E+01    0.71640E+02
    0.12647E+01    0.42784E+02
    0.15794E+01    0.25304E+02
    0.19724E+01    0.14836E+02
    0.24632E+01    0.86291E+01
    0.30762E+01    0.49831E+01
    0.38417E+01    0.28588E+01
    0.47977E+01    0.16303E+01
    0.59916E+01    0.92465E+00
    0.74826E+01    0.52179E+00
    0.93447E+01    0.29310E+00
    0.11670E+02    0.16393E+00
