#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.174690E-01   0.125054E+08   0.124814E+08  -0.104567E+04  -0.104607E+04   0.000000E+00   0.125016E+08   0.125016E+08   0.125016E+08  -0.296802E+00   0.652990E+07   0.652969E+07   0.388262E+01
   0.180611E-01   0.122898E+08   0.122646E+08  -0.961344E+03  -0.961709E+03   0.000000E+00   0.122857E+08   0.122857E+08   0.122857E+08  -0.291677E+00   0.641714E+07   0.641693E+07   0.392624E+01
   0.186733E-01   0.120701E+08   0.120437E+08  -0.883252E+03  -0.883587E+03   0.000000E+00   0.120658E+08   0.120658E+08   0.120658E+08  -0.286457E+00   0.630230E+07   0.630208E+07   0.396589E+01
   0.193062E-01   0.118465E+08   0.118189E+08  -0.810967E+03  -0.811275E+03   0.000000E+00   0.118421E+08   0.118421E+08   0.118421E+08  -0.281144E+00   0.618543E+07   0.618519E+07   0.400108E+01
   0.199606E-01   0.116192E+08   0.115903E+08  -0.744089E+03  -0.744371E+03   0.000000E+00   0.116145E+08   0.116145E+08   0.116145E+08  -0.275742E+00   0.606657E+07   0.606633E+07   0.403133E+01
   0.206372E-01   0.113882E+08   0.113580E+08  -0.682245E+03  -0.682504E+03   0.000000E+00   0.113833E+08   0.113833E+08   0.113833E+08  -0.270253E+00   0.594580E+07   0.594555E+07   0.405612E+01
   0.213367E-01   0.111537E+08   0.111222E+08  -0.625087E+03  -0.625324E+03   0.000000E+00   0.111486E+08   0.111486E+08   0.111486E+08  -0.264680E+00   0.582320E+07   0.582294E+07   0.407490E+01
   0.220599E-01   0.109158E+08   0.108831E+08  -0.572291E+03  -0.572508E+03   0.000000E+00   0.109106E+08   0.109106E+08   0.109106E+08  -0.259030E+00   0.569889E+07   0.569862E+07   0.408713E+01
   0.228076E-01   0.106750E+08   0.106409E+08  -0.523554E+03  -0.523753E+03   0.000000E+00   0.106695E+08   0.106695E+08   0.106695E+08  -0.253306E+00   0.557296E+07   0.557268E+07   0.409224E+01
   0.235807E-01   0.104313E+08   0.103960E+08  -0.478595E+03  -0.478776E+03   0.000000E+00   0.104256E+08   0.104256E+08   0.104256E+08  -0.247516E+00   0.544558E+07   0.544529E+07   0.408966E+01
   0.243800E-01   0.101851E+08   0.101485E+08  -0.437149E+03  -0.437315E+03   0.000000E+00   0.101792E+08   0.101792E+08   0.101792E+08  -0.241666E+00   0.531688E+07   0.531658E+07   0.407881E+01
   0.252063E-01   0.993673E+07   0.989895E+07  -0.398972E+03  -0.399123E+03   0.000000E+00   0.993064E+07   0.993064E+07   0.993064E+07  -0.235765E+00   0.518705E+07   0.518675E+07   0.405911E+01
   0.260607E-01   0.968660E+07   0.964764E+07  -0.363834E+03  -0.363972E+03   0.000000E+00   0.968032E+07   0.968032E+07   0.968032E+07  -0.229822E+00   0.505631E+07   0.505599E+07   0.403002E+01
   0.269440E-01   0.943514E+07   0.939506E+07  -0.331523E+03  -0.331649E+03   0.000000E+00   0.942868E+07   0.942868E+07   0.942868E+07  -0.223848E+00   0.492487E+07   0.492455E+07   0.399101E+01
   0.278573E-01   0.918283E+07   0.914170E+07  -0.301838E+03  -0.301953E+03   0.000000E+00   0.917620E+07   0.917620E+07   0.917620E+07  -0.217854E+00   0.479299E+07   0.479266E+07   0.394158E+01
   0.288015E-01   0.893021E+07   0.888812E+07  -0.274595E+03  -0.274699E+03   0.000000E+00   0.892342E+07   0.892342E+07   0.892342E+07  -0.211852E+00   0.466096E+07   0.466063E+07   0.388129E+01
   0.297777E-01   0.867787E+07   0.863492E+07  -0.249618E+03  -0.249713E+03   0.000000E+00   0.867094E+07   0.867094E+07   0.867094E+07  -0.205858E+00   0.452909E+07   0.452875E+07   0.380976E+01
   0.307871E-01   0.842644E+07   0.838275E+07  -0.226746E+03  -0.226832E+03   0.000000E+00   0.841939E+07   0.841939E+07   0.841939E+07  -0.199886E+00   0.439770E+07   0.439736E+07   0.372669E+01
   0.318306E-01   0.817662E+07   0.813232E+07  -0.205827E+03  -0.205905E+03   0.000000E+00   0.816947E+07   0.816947E+07   0.816947E+07  -0.193953E+00   0.426716E+07   0.426681E+07   0.363188E+01
   0.329095E-01   0.792912E+07   0.788437E+07  -0.186718E+03  -0.186789E+03   0.000000E+00   0.792191E+07   0.792191E+07   0.792191E+07  -0.188075E+00   0.413785E+07   0.413750E+07   0.352526E+01
   0.340250E-01   0.768473E+07   0.763968E+07  -0.169287E+03  -0.169351E+03   0.000000E+00   0.767746E+07   0.767746E+07   0.767746E+07  -0.182272E+00   0.401017E+07   0.400982E+07   0.340686E+01
   0.351782E-01   0.744421E+07   0.739907E+07  -0.153408E+03  -0.153466E+03   0.000000E+00   0.743693E+07   0.743693E+07   0.743693E+07  -0.176561E+00   0.388454E+07   0.388419E+07   0.327691E+01
   0.363706E-01   0.720838E+07   0.716333E+07  -0.138964E+03  -0.139016E+03   0.000000E+00   0.720111E+07   0.720111E+07   0.720111E+07  -0.170963E+00   0.376136E+07   0.376102E+07   0.313580E+01
